scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,2000,10,3594035.9499999983,0.0000000000,0.3000000000,1797.0179750000,1797.3179750000,0.0746578069,26788.8930000000,1.9627921546,2.4844707579,96440014.7999999800
Baseline_RoundRobin,2000,1,3258917.9490000010,0.0000000000,0.3000000000,1629.4589745000,1629.7589745000,0.1368468582,14614.8770000000,0.3360641474,4.1293766885,52613557.1999999960
Baseline_RoundRobin,2000,2,3258919.1610000003,0.0000000000,0.3000000000,1629.4595805000,1629.7595805000,0.1368468488,14614.8780000000,0.3360609570,4.1293779417,52613560.8000000000
Baseline_RoundRobin,2000,3,3258918.8489999970,0.0000000000,0.3000000000,1629.4594245000,1629.7594245000,0.1368468582,14614.8770000000,0.3360591002,4.1293778289,52613557.1999999960
Baseline_RoundRobin,2000,4,3258919.3479999990,0.0000000000,0.3000000000,1629.4596740000,1629.7596740000,0.1368469144,14614.8710000000,0.3360568284,4.1293801564,52613535.5999999940
Baseline_RoundRobin,2000,5,3258918.5679999990,0.0000000000,0.3000000000,1629.4592840000,1629.7592840000,0.1368468863,14614.8740000000,0.3360573728,4.1293783205,52613546.3999999900
Baseline_RoundRobin,2000,6,3258918.2970000000,0.0000000000,0.3000000000,1629.4591485000,1629.7591485000,0.1368469424,14614.8680000000,0.3360554289,4.1293796724,52613524.8000000000
Baseline_RoundRobin,2000,7,3258917.2590000010,0.0000000000,0.3000000000,1629.4586295000,1629.7586295000,0.1368469237,14614.8700000000,0.3360527522,4.1293777920,52613532.0000000000
Baseline_RoundRobin,2000,8,3258918.7659999984,0.0000000000,0.3000000000,1629.4593830000,1629.7593830000,0.1368469237,14614.8700000000,0.3360501610,4.1293797015,52613532.0000000000
Baseline_RoundRobin,2000,9,3258918.5629999978,0.0000000000,0.3000000000,1629.4592815000,1629.7592815000,0.1368469612,14614.8660000000,0.3360569425,4.1293805745,52613517.6000000000
Baseline_RoundRobin,2000,10,3258917.9490000010,0.0000000000,0.3000000000,1629.4589745000,1629.7589745000,0.1368468582,14614.8770000000,0.3360641474,4.1293766885,52613557.1999999960
MOWS,3000,1,8103934.0399999960,0.0000000000,0.3000000000,2701.3113466667,2701.6113466667,0.0848838356,35342.4180000000,1.9598633392,4.2462531169,127232704.8000000000
MOWS,3000,2,7882502.2599999960,0.0000000000,0.3000000000,2627.5007533333,2627.8007533333,0.1071390307,28001.0000000000,1.5203346225,5.2131089630,100803599.9999999900
MOWS,3000,3,7936017.9830000010,0.0000000000,0.3000000000,2645.3393276667,2645.6393276667,0.0928556262,32308.2200000000,2.3601219589,4.5487896263,116309591.9999999900
MOWS,3000,4,7913911.0760000040,0.0000000000,0.3000000000,2637.9703586667,2638.2703586667,0.0993745465,30188.8170000000,1.5444666391,4.8545760775,108679741.1999999900
MOWS,3000,5,8021359.2979999870,0.0000000000,0.3000000000,2673.7864326667,2674.0864326667,0.1039401709,28862.7580000000,1.6664120356,5.1465522007,103905928.8000000000
MOWS,3000,6,7978489.8529999920,0.0000000000,0.3000000000,2659.4966176667,2659.7966176667,0.0831850168,36064.1870000000,1.8479847530,4.0968568650,129831073.1999999900
MOWS,3000,7,8107508.4350000040,0.0000000000,0.3000000000,2702.5028116667,2702.8028116667,0.0931819020,32195.0930000000,1.8570559432,4.6634139275,115902334.8000000000
MOWS,3000,8,7974625.4120000050,0.0000000000,0.3000000000,2658.2084706667,2658.5084706667,0.1032093320,29067.1390000000,1.3345741379,5.0805911229,104641700.3999999900
MOWS,3000,9,8031877.4390000010,0.0000000000,0.3000000000,2677.2924796667,2677.5924796667,0.1073410010,27948.3140000000,1.8291666709,5.3219121229,100613930.3999999900
MOWS,3000,10,7959023.9829999980,0.0000000000,0.3000000000,2653.0079943333,2653.3079943333,0.0935978304,32052.0250000000,1.4394050346,4.5984405983,115387289.9999999900
Baseline_RoundRobin,3000,1,7342884.6440000000,0.0000000000,0.3000000000,2447.6282146667,2447.9282146667,0.1634778674,18351.1080000000,0.2021997013,7.4098711238,66063988.8000000000
Baseline_RoundRobin,3000,2,7342882.5420000020,0.0000000000,0.3000000000,2447.6275140000,2447.9275140000,0.1634779208,18351.1020000000,0.2021985826,7.4098714253,66063967.1999999800
Baseline_RoundRobin,3000,3,7342883.0499999830,0.0000000000,0.3000000000,2447.6276833333,2447.9276833333,0.1634778228,18351.1130000000,0.2022021647,7.4098674964,66064006.7999999700
Baseline_RoundRobin,3000,4,7342884.6440000000,0.0000000000,0.3000000000,2447.6282146667,2447.9282146667,0.1634778674,18351.1080000000,0.2021997013,7.4098711238,66063988.8000000000
Baseline_RoundRobin,3000,5,7342882.5420000020,0.0000000000,0.3000000000,2447.6275140000,2447.9275140000,0.1634779208,18351.1020000000,0.2021985826,7.4098714253,66063967.1999999800
Baseline_RoundRobin,3000,6,7342883.0499999830,0.0000000000,0.3000000000,2447.6276833333,2447.9276833333,0.1634778228,18351.1130000000,0.2022021647,7.4098674964,66064006.7999999700
Baseline_RoundRobin,3000,7,7342884.6440000000,0.0000000000,0.3000000000,2447.6282146667,2447.9282146667,0.1634778674,18351.1080000000,0.2021997013,7.4098711238,66063988.8000000000
Baseline_RoundRobin,3000,8,7342882.5420000020,0.0000000000,0.3000000000,2447.6275140000,2447.9275140000,0.1634779208,18351.1020000000,0.2021985826,7.4098714253,66063967.1999999800
Baseline_RoundRobin,3000,9,7342883.0499999830,0.0000000000,0.3000000000,2447.6276833333,2447.9276833333,0.1634778228,18351.1130000000,0.2022021647,7.4098674964,66064006.7999999700
Baseline_RoundRobin,3000,10,7342884.6440000000,0.0000000000,0.3000000000,2447.6282146667,2447.9282146667,0.1634778674,18351.1080000000,0.2021997013,7.4098711238,66063988.8000000000
MOWS,4000,1,13707198.2960000150,0.0000000000,0.3000000000,3426.7995740000,3427.0995740000,0.1140843196,35061.7860000000,1.2824369023,7.2397055153,126222429.5999999800
MOWS,4000,2,13659725.2439999900,0.0000000000,0.3000000000,3414.9313110000,3415.2313110000,0.0967628941,41338.1600000000,1.3006668804,6.1192340174,148817376.0000000000
MOWS,4000,3,13690289.6729999930,0.0000000000,0.3000000000,3422.5724182500,3422.8724182500,0.1102242802,36289.6450000000,1.3812828365,6.9861218767,130642721.9999999900
MOWS,4000,4,13679661.0240000080,0.0000000000,0.3000000000,3419.9152560000,3420.2152560000,0.1141324377,35047.0040000000,1.3709727989,7.2282086081,126169214.4000000000
MOWS,4000,5,13513089.6149999980,0.0000000000,0.3000000000,3378.2724037500,3378.5724037500,0.1274813284,31377.1440000000,1.1094943570,7.9753084053,112957718.3999999800
MOWS,4000,6,13692006.3240000030,0.0000000000,0.3000000000,3423.0015810000,3423.3015810000,0.1067121488,37484.0170000000,1.5991648490,6.7643676681,134942461.2000000000
MOWS,4000,7,13897903.9779999960,0.0000000000,0.3000000000,3474.4759945000,3474.7759945000,0.1029528578,38852.7340000000,1.6575068946,6.6242080206,139869842.3999999800
MOWS,4000,8,13803409.2850000000,0.0000000000,0.3000000000,3450.8523212500,3451.1523212500,0.0973288132,41097.7990000000,1.4861240831,6.2197659408,147952076.4000000000
MOWS,4000,9,13714930.8230000030,0.0000000000,0.3000000000,3428.7327057500,3429.0327057500,0.1060490539,37718.3940000000,1.3711945948,6.7335899939,135786218.3999999800
MOWS,4000,10,13852035.5040000120,0.0000000000,0.3000000000,3463.0088760000,3463.3088760000,0.0977902747,40903.8630000000,1.3498530340,6.2712701732,147253906.7999999800
Baseline_RoundRobin,4000,1,12882971.2550000030,0.0000000000,0.3000000000,3220.7428137500,3221.0428137500,0.1751460335,22838.0850000000,0.1531443962,10.4463023830,82217105.9999999700
Baseline_RoundRobin,4000,2,12882973.5849999860,0.0000000000,0.3000000000,3220.7433962500,3221.0433962500,0.1751460028,22838.0890000000,0.1531453619,10.4463024427,82217120.4000000000
Baseline_RoundRobin,4000,3,12882969.9799999860,0.0000000000,0.3000000000,3220.7424950000,3221.0424950000,0.1751460335,22838.0850000000,0.1531420347,10.4463013492,82217105.9999999900
Baseline_RoundRobin,4000,4,12882971.8679999900,0.0000000000,0.3000000000,3220.7429670000,3221.0429670000,0.1751460181,22838.0870000000,0.1531408596,10.4463019653,82217113.1999999900
Baseline_RoundRobin,4000,5,12882970.1489999900,0.0000000000,0.3000000000,3220.7425372500,3221.0425372500,0.1751460335,22838.0850000000,0.1531439231,10.4463014862,82217105.9999999900
Baseline_RoundRobin,4000,6,12882969.7160000110,0.0000000000,0.3000000000,3220.7424290000,3221.0424290000,0.1751459875,22838.0910000000,0.1531444313,10.4462983907,82217127.6000000000
Baseline_RoundRobin,4000,7,12882974.4549999890,0.0000000000,0.3000000000,3220.7436137500,3221.0436137500,0.1751460642,22838.0810000000,0.1531417049,10.4463068074,82217091.5999999600
Baseline_RoundRobin,4000,8,12882971.4230000040,0.0000000000,0.3000000000,3220.7428557500,3221.0428557500,0.1751460335,22838.0850000000,0.1531403577,10.4463025193,82217105.9999999900
Baseline_RoundRobin,4000,9,12882970.6390000200,0.0000000000,0.3000000000,3220.7426597500,3221.0426597500,0.1751460181,22838.0870000000,0.1531453550,10.4463009687,82217113.1999999900
Baseline_RoundRobin,4000,10,12882971.2550000030,0.0000000000,0.3000000000,3220.7428137500,3221.0428137500,0.1751460335,22838.0850000000,0.1531443962,10.4463023830,82217105.9999999700
MOWS,5000,1,21167091.4589999880,0.0000000000,0.3000000000,4233.4182918000,4233.7182918000,0.1113996188,44883.4570000000,1.4916707452,8.7333552575,161580445.1999999600
MOWS,5000,2,21333279.5050000360,0.0000000000,0.3000000000,4266.6559010000,4266.9559010000,0.0855383948,58453.2830000000,1.8442203610,6.7585721674,210431818.7999999800
MOWS,5000,3,21306394.6310000270,0.0000000000,0.3000000000,4261.2789262000,4261.5789262000,0.1097870139,45542.7270000000,1.3665989981,8.6635757129,163953817.2000000000
MOWS,5000,4,21187921.4599999640,0.0000000000,0.3000000000,4237.5842920000,4237.8842920000,0.1116895613,44766.9410000000,1.5844230589,8.7647024157,161160987.6000000000
MOWS,5000,5,21397587.0459999700,0.0000000000,0.3000000000,4279.5174092000,4279.8174092000,0.1077741666,46393.3070000000,1.2989849491,8.5411374525,167015905.2000000000
MOWS,5000,6,21194427.5710000250,0.0000000000,0.3000000000,4238.8855142000,4239.1855142000,0.0994545079,50274.2420000000,1.5937982321,7.8069680188,180987271.1999999600
MOWS,5000,7,21258285.0579999600,0.0000000000,0.3000000000,4251.6570116000,4251.9570116000,0.1062589384,47054.8650000000,1.7113483896,8.3662325993,169397514.0000000000
MOWS,5000,8,21010721.9890000670,0.0000000000,0.3000000000,4202.1443978000,4202.4443978000,0.1173354820,42612.8560000000,1.0535136666,9.1307525654,153406281.6000000000
MOWS,5000,9,21045901.3780000320,0.0000000000,0.3000000000,4209.1802756000,4209.4802756000,0.0965133193,51806.3210000000,1.4451670187,7.5229992573,186502755.6000000000
