scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
Baseline_RoundRobin,3000,3,3943036.7009999957,0.0000000000,0.3000000000,1314.3455670000,1314.6455670000,1.5798112757,1898.9610000000,0.3175400933,38.4521842032,6836259.6000000000
Baseline_RoundRobin,3000,4,3943038.2389999960,0.0000000000,0.3000000000,1314.3460796667,1314.6460796667,1.5798237549,1898.9460000000,0.3175491040,38.4525029401,6836205.6000000000
Baseline_RoundRobin,3000,5,3943037.4100000020,0.0000000000,0.3000000000,1314.3458033333,1314.6458033333,1.5798137716,1898.9580000000,0.3175402416,38.4522518646,6836248.8000000000
Baseline_RoundRobin,3000,6,3943036.7009999957,0.0000000000,0.3000000000,1314.3455670000,1314.6455670000,1.5798112757,1898.9610000000,0.3175400933,38.4521842032,6836259.6000000000
Baseline_RoundRobin,3000,7,3943038.2389999960,0.0000000000,0.3000000000,1314.3460796667,1314.6460796667,1.5798237549,1898.9460000000,0.3175491040,38.4525029401,6836205.6000000000
Baseline_RoundRobin,3000,8,3943037.4100000020,0.0000000000,0.3000000000,1314.3458033333,1314.6458033333,1.5798137716,1898.9580000000,0.3175402416,38.4522518646,6836248.8000000000
Baseline_RoundRobin,3000,9,3943036.7009999957,0.0000000000,0.3000000000,1314.3455670000,1314.6455670000,1.5798112757,1898.9610000000,0.3175400933,38.4521842032,6836259.6000000000
Baseline_RoundRobin,3000,10,3943038.2389999960,0.0000000000,0.3000000000,1314.3460796667,1314.6460796667,1.5798237549,1898.9460000000,0.3175491040,38.4525029401,6836205.6000000000
MOWS,4000,1,7025433.8789999950,0.0000000000,0.3000000000,1756.3584697500,1756.6584697500,1.4227710957,2811.4150000000,0.9491750307,46.2758530451,10121094.0000000020
MOWS,4000,2,7034813.4269999740,0.0000000000,0.3000000000,1758.7033567500,1759.0033567500,1.3746710670,2909.7870000000,1.2570081930,44.7710855544,10475233.2000000030
